-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/01/2020 through 02/28/2021 
Location: Latitude  31.0296   Longitude 31.4352 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
WS10M       MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,RH2M,T2M_MAX,T2M_MIN
2021,1,21,11.72,3.06,65.19,18.73,7.19
2021,1,22,12.7,4.12,68.75,20.04,7.15
2021,1,23,13.62,3.62,66.06,21.18,8.61
2021,1,24,13.46,2.88,65.44,20.46,7.96
2021,1,25,14.18,1.89,64.94,21.76,9.4
2021,1,26,13.29,3.2,71.06,21.39,6.38
2021,1,27,15.09,4.73,57.62,24.01,8.94
2021,1,28,12.62,4.44,61.62,18.32,8.64
2021,1,29,11.95,5.59,60.81,17.33,7.33
2021,1,30,13.08,5.62,56.88,20.37,6.8
2021,1,31,15.73,4.15,49.31,24.48,8.76
2021,2,1,17.12,2.98,48.44,26.97,10.7
2021,2,2,17.4,2.41,60.88,28.26,9.9
2021,2,3,17.99,2.72,51.75,28.12,10.47
2021,2,4,16.2,5.09,82.0,20.07,14.41
2021,2,5,16.19,4.88,75.69,22.9,11.96
2021,2,6,16.05,2.25,74.88,24.12,11.69
2021,2,7,15.9,1.56,72.44,24.12,10.62
2021,2,8,15.76,2.5,57.19,25.23,8.47
2021,2,9,18.01,3.17,47.19,29.12,10.46
2021,2,10,16.37,3.27,69.62,25.55,10.75
2021,2,11,15.85,3.02,68.81,25.55,9.37
2021,2,12,15.45,2.73,67.75,24.46,9.91
2021,2,13,15.56,2.32,66.06,23.26,10.37
2021,2,14,14.81,2.29,66.0,22.89,10.15
2021,2,15,15.36,1.99,61.75,23.76,9.73
2021,2,16,10.83,6.12,81.69,14.81,7.25
2021,2,17,9.07,8.55,66.31,11.73,7.11
2021,2,18,11.28,4.79,65.19,16.73,6.85
2021,2,19,10.65,3.59,83.38,16.54,7.6
2021,2,20,11.93,3.73,65.88,18.94,6.59
2021,2,21,12.83,2.04,66.12,18.25,9.43
2021,2,22,12.87,2.73,69.62,18.84,8.24
2021,2,23,13.96,4.85,77.25,19.4,10.92
2021,2,24,14.81,4.73,71.38,21.8,10.22
2021,2,25,15.47,3.27,75.31,24.39,9.64
2021,2,26,15.11,1.9,71.56,22.27,10.39
2021,2,27,15.25,4.25,71.75,22.55,10.33
2021,2,28,14.73,3.91,73.81,22.18,9.01
